Date,Time,Event,Ticker,Period,Actual,Prior,Surv(M),Surv(A),# Ests.,Surprise,Std Dev,C
01/03/000,23:00,ISM Manufacturing,NAPMPMI Index,Dec,55.5,56.2,56,56.33,36,-0.84,0.59,US
01/04/000,22:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Jan-01,0.4,1.2,--,--,0,--,--,US
01/04/000,23:00,Construction Spending,VNCCCMOM Index,Nov,2.60%,0.30%,0.20%,0.21%,29,7.54,0.32,US
01/04/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Jan-01,1.80%,1.70%,--,--,0,--,--,US
01/05/000,23:00,Factory Orders,TMNOCHNG Index,Nov,1.20%,-0.20%,0.90%,0.93%,35,1.71,0.18,US
01/05/000,23:00,ISM Non-Manufacturing,NAPMNMAN Index,Dec,55.5,55.5,53,53.05,13,0.96,2.6,US
01/05/000-01/06/000,,Wards Domestic Vehicle Sales,SAARDTOT Index,Dec,14.70m,14.30m,14.30m,14.38m,28,1.67,0.24,US
01/06/000,21:30,Initial Jobless Claims,INJCJC Index,Jan-01,309k,274k,285k,284.67k,21,3.04,7.89,US
01/06/000,23:00,New Home Sales,NHSLTOT Index,Nov,865k,986k,925k,930.34k,41,-2.36,25.46,US
01/07/000,4:00,Bloomberg Retail Sales,BBRSCPYY Index,Dec,6.50%,3.90%,940.00%,--,1,--,--,US
01/07/000,21:30,Unemployment Rate,USURTOT Index,Dec,4.10%,4.10%,4.10%,4.07%,42,0,0.05,US
01/07/000,21:30,Avg Hourly Earning MOM Prod,USHETOT% Index,Dec,0.40%,0.10%,0.40%,0.34%,34,0,0.06,US
01/07/000,21:30,Avg Weekly Hours Production,USWHTOT Index,Dec,34.5,34.6,34.6,34.59,20,-2.12,0.05,US
01/07/000,21:30,Change in Nonfarm Payrolls,NFP TCH Index,Dec,315k,234k,245k,241.00k,42,1.99,35.14,US
01/07/000,21:30,Change in Manufact. Payrolls,USMMMNCH Index,Dec,-1k,-2k,-1.17k,-1.17k,6,419312.68,2.38,US
01/07/000,23:00,Housing Completions,PHUCTOT Index,Nov,1617k,1637k,1625k,1618.33k,3,--,--,US
01/08/000,4:00,Consumer Credit,CICRTOT Index,Nov,$15.600b,$4.200b,$6.000b,$6.45b,28,5.53,1.74,US
01/11/000,22:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Jan-08,-0.8,0.4,--,--,0,--,--,US
01/11/000,23:00,Wholesale Inventories MoM,MWINCHNG Index,Nov,1.10%,0.30%,0.40%,0.51%,10,3.1,0.23,US
01/11/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Jan-08,1.90%,1.80%,--,--,1,--,--,US
01/12/000,21:30,Import Price Index MoM,IMP1CHNG Index,Dec,0.70%,0.50%,0.30%,0.33%,17,2.34,0.17,US
01/13/000,21:30,PPI MoM,PPI CHNG Index,Dec,0.30%,0.20%,0.30%,0.27%,44,0,0.09,US
01/13/000,21:30,PPI Ex Food and Energy MoM,PXFECHNG Index,Dec,0.10%,0.00%,0.10%,0.08%,43,0,0.05,US
