Date,Time,Event,Ticker,Period,Actual,Prior,SurvM,SurvA,NoEstimates,Surprise,StdDev,C
2000-01-03,23:00:00,ISM Manufacturing,NAPMPMI Index,Dec,55.50,56.20,56.00,56.33,36,-0.84,0.59,US
2000-01-04,22:00:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Jan-01,0.40,1.20,,,0,,,US
2000-01-04,23:00:00,Construction Spending,VNCCCMOM Index,Nov,2.60%,0.30%,0.20%,0.21%,29,7.54,0.32,US
2000-01-04,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Jan-01,1.80%,1.70%,,,0,,,US
2000-01-05,23:00:00,Factory Orders,TMNOCHNG Index,Nov,1.20%,-0.20%,0.90%,0.93%,35,1.71,0.18,US
2000-01-05,23:00:00,ISM Non-Manufacturing,NAPMNMAN Index,Dec,55.50,55.50,53.00,53.05,13,0.96,2.60,US
2000-01-05,,Wards Domestic Vehicle Sales,SAARDTOT Index,Dec,14700000,14300000,14300000,14380000,28,1.67,0.24,US
2000-01-06,21:30:00,Initial Jobless Claims,INJCJC Index,Jan-01,309000,274000,285000,284670,21,3.04,7.89,US
2000-01-06,23:00:00,New Home Sales,NHSLTOT Index,Nov,865000,986000,925000,930340,41,-2.36,25.46,US
2000-01-07,04:00:00,Bloomberg Retail Sales,BBRSCPYY Index,Dec,6.50%,3.90%,940.00%,,1,,,US
2000-01-07,21:30:00,Unemployment Rate,USURTOT Index,Dec,4.10%,4.10%,4.10%,4.07%,42,0.00,0.05,US
2000-01-07,21:30:00,Avg Hourly Earning MOM Prod,USHETOT% Index,Dec,0.40%,0.10%,0.40%,0.34%,34,0.00,0.06,US
2000-01-07,21:30:00,Avg Weekly Hours Production,USWHTOT Index,Dec,34.50,34.60,34.60,34.59,20,-2.12,0.05,US
2000-01-07,21:30:00,Change in Nonfarm Payrolls,NFP TCH Index,Dec,315000,234000,245000,241000,42,1.99,35.14,US
2000-01-07,21:30:00,Change in Manufact. Payrolls,USMMMNCH Index,Dec,-1000,-2000,-1170,-1170,6,419312.68,2.38,US
2000-01-07,23:00:00,Housing Completions,PHUCTOT Index,Nov,1617000,1637000,1625000,1618330,3,,,US
2000-01-08,04:00:00,Consumer Credit,CICRTOT Index,Nov,15600000000,4200000000,6000000000,6450000000,28,5.53,1.74,US
2000-01-11,22:00:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Jan-08,-0.80,0.40,,,0,,,US
2000-01-11,23:00:00,Wholesale Inventories MoM,MWINCHNG Index,Nov,1.10%,0.30%,0.40%,0.51%,10,3.10,0.23,US
2000-01-11,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Jan-08,1.90%,1.80%,,,1,,,US
2000-01-12,21:30:00,Import Price Index MoM,IMP1CHNG Index,Dec,0.70%,0.50%,0.30%,0.33%,17,2.34,0.17,US
2000-01-13,21:30:00,PPI MoM,PPI CHNG Index,Dec,0.30%,0.20%,0.30%,0.27%,44,0.00,0.09,US
2000-01-13,21:30:00,PPI Ex Food and Energy MoM,PXFECHNG Index,Dec,0.10%,0.00%,0.10%,0.08%,43,0.00,0.05,US
2000-01-13,21:30:00,Initial Jobless Claims,INJCJC Index,Jan-08,309000,309000,300000,302300,23,0.76,11.84,US
2000-01-13,21:30:00,Advance Retail Sales,RTSDCHNG Index,Dec,1.20%,0.90%,1.00%,0.99%,49,0.81,0.25,US
2000-01-13,21:30:00,Retail Sales Less Autos,RTSDXCHG Index,Dec,1.40%,0.40%,0.70%,0.73%,42,3.35,0.21,US
2000-01-14,21:30:00,CPI MoM,CPI CHNG Index,Dec,0.30%,0.20%,0.30%,0.25%,44,0.00,0.05,US
2000-01-14,21:30:00,CPI Ex Food and Energy MoM,CPUPXCHG Index,Dec,0.10%,0.20%,0.20%,0.18%,44,-1.75,0.06,US
2000-01-14,21:30:00,CPI Index NSA,CPURNSA Index,Dec,168.30,168.30,,,0,,,US
2000-01-14,21:30:00,Real Earnings,REALRAWE Index,Dec,0.20%,0.30%,0.00%,,2,,,US
2000-01-14,21:30:00,Business Inventories,MTIBCHNG Index,Nov,0.90%,0.20%,0.40%,0.41%,36,3.99,0.13,US
2000-01-14,22:15:00,Industrial Production MoM,IP CHNG Index,Dec,0.40%,0.30%,0.40%,0.38%,43,0.00,0.12,US
2000-01-14,22:15:00,Capacity Utilization,CPTICHNG Index,Dec,81.30%,81.00%,81.10%,81.05%,43,1.21,0.16,US
2000-01-14,23:00:00,U. of Mich. Sentiment,CONSSENT Index,Jan P,111.40,105.40,106.20,106.51,15,4.70,1.11,US
2000-01-19,21:30:00,Housing Starts,NHSPSTOT Index,Dec,1712000,1600000,1600000,1611070,43,3.82,29.34,US
2000-01-19,22:00:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Jan-16,0.50,-0.80,,,0,,,US
2000-01-19,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Jan-16,1.90%,1.90%,,,0,,,US
2000-01-20,21:30:00,Trade Balance,USTBTOT Index,Nov,-26500000000,-25900000000,-26000000000,-25800000000,43,-0.73,0.68,US
2000-01-20,21:30:00,Initial Jobless Claims,INJCJC Index,Jan-15,272000,309000,295000,293610,23,-4.11,5.60,US
2000-01-20,23:00:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Jan,9.10,8.60,12.00,11.73,28,-0.90,3.23,US
2000-01-22,03:00:00,Monthly Budget Statement,FDDSSD Index,Dec,33100000000,-5200000000,31000000000,29720000000,31,0.39,5.32,US
2000-01-25,22:00:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Jan-22,1.00,0.50,,,0,,,US
2000-01-25,23:00:00,Conf. Board Consumer Confidence,CONCCONF Index,Jan,144.70,141.40,142.50,142.13,35,1.24,1.78,US
2000-01-25,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Jan-22,1.70%,1.90%,,,0,,,US
2000-01-26,01:04:00,One-Family Home Resales,EHSLSL Index,Dec,5060000,5090000,5000000,4970000,41,0.41,0.15,US
2000-01-27,21:30:00,Initial Jobless Claims,INJCJC Index,Jan-22,266000,272000,276000,276520,25,-1.33,7.50,US
2000-01-27,21:30:00,Durable Goods Orders,DGNOCHNG Index,Dec,4.10%,0.90%,0.70%,1.02%,41,3.72,0.91,US
2000-01-28,21:30:00,GDP Annualized QoQ,GDP CQOQ Index,4Q A,5.80%,5.70%,5.20%,5.19%,42,1.29,0.46,US
2000-01-28,21:30:00,GDP Price Deflator,GDP DCHG Index,4Q A,2.00%,1.10%,1.50%,1.51%,39,1.71,0.29,US
2000-01-28,21:30:00,Employment Cost Index,ECI SA% Index,4Q,1.10%,0.80%,0.90%,0.89%,45,1.96,0.10,US
2000-01-28,23:00:00,U. of Mich. Sentiment,CONSSENT Index,Jan F,112.00,111.40,111.40,111.31,16,0.92,0.65,US
2000-01-31,21:30:00,Personal Income,PITLCHNG Index,Dec,0.30%,0.40%,0.40%,0.41%,40,-0.68,0.15,US
2000-01-31,21:30:00,Personal Spending,PCE CRCH Index,Dec,0.80%,0.50%,0.80%,0.84%,39,0.00,0.10,US
2000-01-31,23:00:00,MNI Chicago PMI,CHPMINDX Index,Jan,55.60,54.60,55.00,55.23,23,0.42,1.42,US
2000-02-01,22:00:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Jan-28,-0.20,1.00,,,1,,,US
2000-02-01,23:00:00,ISM Manufacturing,NAPMPMI Index,Jan,56.30,55.50,56.00,54.67,38,0.35,0.86,US
2000-02-01,23:00:00,Construction Spending,VNCCCMOM Index,Dec,2.00%,2.60%,0.10%,-0.01%,29,2.99,0.64,US
2000-02-01,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Jan-28,1.60%,1.70%,,,0,,,US
2000-02-01,,Wards Domestic Vehicle Sales,SAARDTOT Index,Jan,15100000,14600000,14400000,13800000,22,2.94,0.24,US
2000-02-02,23:00:00,New Home Sales,NHSLTOT Index,Dec,900000,865000,890000,872720,39,0.49,20.42,US
2000-02-02,23:00:00,Leading Index,LEI CHNG Index,Dec,0.40%,0.30%,0.40%,0.34%,31,0.00,0.09,US
2000-02-03,03:15:00,FOMC Rate Decision (Upper Bound),FDTR Index,Feb-02,5.75%,5.50%,6.00%,6.00%,50,,0.00,US
