Date,Last Price,Volume,SMAVG (15)
06/28/2010,17,,
06/29/2010,23.89,18783276,
06/30/2010,23.83,17194394,
07/1/2010,21.96,8229863,
07/2/2010,19.2,5141807,
07/6/2010,16.11,6879296,
07/7/2010,15.8,6924914,
07/8/2010,17.46,7719539,
07/9/2010,17.4,4058606,
07/12/2010,17.05,2203570,
07/13/2010,18.14,2680060,
07/14/2010,19.84,4196110,
07/15/2010,19.89,3745297,
07/16/2010,20.64,2621210,
07/19/2010,21.91,2486489,
07/20/2010,20.3,1825231,6312644
07/21/2010,20.22,1253442,5143989
07/22/2010,21,962345,4061852
07/23/2010,21.29,654049,3556798
07/26/2010,20.95,922453,3275508
07/27/2010,20.55,619675,2858199
07/28/2010,20.72,467183,2427684
07/29/2010,20.35,615910,1954109
07/30/2010,19.94,426830,1711990
08/2/2010,20.92,719145,1613029
08/3/2010,21.95,1231023,1516426
08/4/2010,21.26,920756,1298069
08/5/2010,20.45,796380,1101475
08/6/2010,19.59,742138,976203
08/9/2010,19.6,812656,864614
08/10/2010,19.03,1281286,828351
08/11/2010,17.9,797650,797965
08/12/2010,17.6,691281,779894
08/13/2010,18.32,634513,778592
08/16/2010,18.78,486211,749509
08/17/2010,19.15,447881,738056
08/18/2010,18.77,601332,746999
08/19/2010,18.79,579082,744544
08/20/2010,19.1,297499,735922
08/23/2010,20.13,1088029,760514
08/24/2010,19.2,673074,723318
08/25/2010,19.9,503289,695487
08/26/2010,19.75,433736,671310
08/27/2010,19.7,379642,647144
08/30/2010,19.87,732731,641816
08/31/2010,19.48,201012,569797
09/1/2010,20.45,495685,549666
09/2/2010,21.06,487060,536052
09/3/2010,21.05,434756,522735
09/7/2010,20.54,243335,506543
09/8/2010,20.9,288382,495910
09/9/2010,20.71,376197,480901
09/10/2010,20.17,386571,468067
09/13/2010,20.72,360703,472280
09/14/2010,21.12,654629,443387
09/15/2010,21.98,684758,444166
09/16/2010,20.94,2685880,589672
09/17/2010,20.23,1198458,640653
09/20/2010,21.055,947475,678509
09/21/2010,20.77,796000,682727
09/22/2010,19.87,962816,733514
09/23/2010,19.56,668076,745006
09/24/2010,20.1,578987,751135
09/27/2010,20.53,418597,750058
09/28/2010,21.4,1214465,814800
09/29/2010,21.98,1969457,926871
09/30/2010,20.405,2196625,1048233
10/1/2010,20.6,599071,1062400
10/4/2010,20.99,643599,1081260
10/5/2010,21.12,331936,1059747
10/6/2010,20.46,313552,1035000
10/7/2010,20.43,141020,865342
10/8/2010,20.43,268110,803319
10/11/2010,20.24,171194,751567
10/12/2010,20.24,243912,714761
10/13/2010,20.54,320541,671943
10/14/2010,20.75,294620,647046
10/15/2010,20.54,284840,627436
10/18/2010,20.23,162729,610378
10/19/2010,20.05,245127,545756
10/20/2010,20.65,312444,435288
10/21/2010,20.75,417999,316713
10/22/2010,20.72,161021,287510
10/25/2010,20.85,118614,252511
10/26/2010,21.36,660841,274438
10/27/2010,21,356500,277301
10/28/2010,21.19,224190,282845
10/29/2010,21.84,280682,283684
11/1/2010,21.41,455784,302656
11/2/2010,21.25,322465,307893
11/3/2010,21.77,374199,311470
11/4/2010,24.9,1874801,416816
11/5/2010,24.44,1010946,465223
11/8/2010,24.98,509475,488339
11/9/2010,24.63,957749,535847
11/10/2010,29.36,3061038,719087
11/11/2010,28.035,1945094,820893
11/12/2010,29.84,2729169,992103
11/15/2010,30.8,2625133,1159204
11/16/2010,29.67,1347731,1204997
11/17/2010,29.49,750341,1231253
11/18/2010,29.89,956248,1280057
11/19/2010,30.99,1150494,1338045
11/22/2010,33.4,1529972,1409657
11/23/2010,34.57,1578070,1493364
11/24/2010,35.47,1424959,1563415
11/26/2010,35.32,350554,1461798
11/29/2010,34.33,1145543,1470771
11/30/2010,35.33,2222958,1585004
12/1/2010,34.35,1299175,1607765
12/2/2010,32.35,2006967,1537494
12/3/2010,31.49,1160460,1485185
12/6/2010,30.31,1274375,1388199
12/7/2010,31.56,1311548,1300626
12/8/2010,32.37,660980,1254843
12/9/2010,32.05,405983,1231886
12/10/2010,31.52,429381,1196761
12/13/2010,30.55,410331,1147417
12/14/2010,28.53,1766910,1163213
12/15/2010,29.6,742900,1107535
12/16/2010,30.81,790070,1065209
12/17/2010,31.36,813817,1096093
12/20/2010,31.7,523320,1054612
12/21/2010,32.26,777678,958260
12/22/2010,32.63,833256,927198
12/23/2010,30.09,1557125,897209
12/27/2010,25.549,9302329,1440000
12/28/2010,26.41,4056589,1625481
12/29/2010,27.73,3319430,1759340
12/30/2010,26.5,2041067,1851346
12/31/2010,26.63,1417847,1918803
01/3/2011,26.62,1284084,1975784
01/4/2011,26.67,1189071,2027700
01/5/2011,26.83,1446869,2006364
01/6/2011,27.88,2061217,2094251
01/7/2011,28.24,2249540,2191549
01/10/2011,28.45,1342812,2226816
01/11/2011,26.96,1711355,2306018
01/12/2011,26.96,964722,2318488
01/13/2011,26.22,723522,2311172
01/14/2011,25.75,1192121,2286838
01/18/2011,25.64,1623839,1774939
01/19/2011,24.03,2371514,1662601
01/20/2011,22.62,2279958,1593303
01/21/2011,23.04,1216941,1538361
01/24/2011,24.49,1645189,1553517
01/25/2011,24.68,1271557,1552682
01/26/2011,24.75,1079867,1545402
01/27/2011,24.92,895655,1508654
01/28/2011,24.01,1048811,1441160
01/31/2011,24.1,831575,1346629
02/1/2011,23.91,707791,1304295
02/2/2011,23.94,569472,1228169
02/3/2011,23.63,512067,1197992
02/4/2011,23.46,543917,1186018
02/7/2011,23.07,895011,1166211
02/8/2011,24.49,3505183,1291634
02/9/2011,23.21,2636262,1309284
02/10/2011,23.215,836020,1213021
02/11/2011,23.25,636602,1174332
02/14/2011,23.08,1283404,1150213
02/15/2011,22.84,960851,1129499
02/16/2011,24.73,4115806,1331895
02/17/2011,23.6,2619942,1446848
02/18/2011,23.18,2370770,1534978
02/22/2011,21.87,2064540,1617176
02/23/2011,21.83,1605708,1677037
02/24/2011,22.53,1055450,1709436
02/25/2011,23.61,1347257,1765115
02/28/2011,23.89,1051106,1798928
03/1/2011,23.94,1106350,1813017
03/2/2011,24.02,663294,1623558
03/3/2011,24.36,640140,1490483
03/4/2011,24.95,1580100,1540088
03/7/2011,24.94,2033531,1633217
03/8/2011,24.66,1399851,1640980
03/9/2011,24.72,924721,1638571
03/10/2011,24.01,1017047,1431987
03/11/2011,24.07,930794,1319377
03/14/2011,23.25,1165971,1239057
03/15/2011,22.95,1318869,1189346
03/16/2011,22.82,1169676,1160277
03/17/2011,22.81,922504,1151414
03/18/2011,22.96,687823,1107452
03/21/2011,22.73,411650,1064821
03/22/2011,22.19,582813,1029919
03/23/2011,22.21,422793,1013886
03/24/2011,22.33,462160,1002020
03/25/2011,22.75,567922,934542
03/28/2011,23.25,1058018,869507
03/29/2011,23.92,755591,826557
03/30/2011,23.71,1223877,846501
03/31/2011,27.75,11522337,1546853
04/1/2011,26.66,2865087,1675806
04/4/2011,25.83,2609227,1772023
04/5/2011,26.7,3181727,1896214
04/6/2011,26.49,1288297,1904122
04/7/2011,27.24,2810766,2030006
04/8/2011,26.49,1946352,2113908
04/11/2011,25.27,1372200,2177945
04/12/2011,24.65,1357401,2229584
04/13/2011,24.93,1211444,2282161
04/14/2011,25.14,983382,2316909
04/15/2011,25.58,943451,2341944
04/18/2011,25.03,1033871,2340334
04/19/2011,25.16,548693,2326541
04/20/2011,25.75,837469,2300780
04/21/2011,26.74,1386053,1625028
04/25/2011,26.39,800839,1487412
04/26/2011,26.93,1372343,1404953
04/27/2011,27.08,996901,1259298
04/28/2011,27.66,1644997,1283078
04/29/2011,27.6,726340,1144116
05/2/2011,27.45,784560,1066663
05/3/2011,26.87,913965,1036114
05/4/2011,26.69,1047169,1015432
05/5/2011,26.44,1219449,1015965
05/6/2011,27.12,981606,1015847
05/9/2011,27.91,916303,1014037
05/10/2011,28.33,1535626,1047488
05/11/2011,27.07,962965,1075106
05/12/2011,27.67,627740,1061124
05/13/2011,27.55,661577,1012825
05/16/2011,26.6,755622,1009811
05/17/2011,25.96,1234156,1000598
05/18/2011,26.35,729407,982765
05/19/2011,28.2,2655367,1050124
05/20/2011,27.97,842534,1057870
05/23/2011,26.82,863548,1063136
05/24/2011,26.72,613673,1043116
05/25/2011,28.98,4693811,1286226
05/26/2011,29.48,3336891,1427388
05/27/2011,29.55,1687069,1474419
05/31/2011,30.14,3290522,1632701
06/1/2011,28.517,1530396,1632352
06/2/2011,28.76,986294,1633907
06/3/2011,30.13,6210209,2006072
06/6/2011,28.7,2331767,2117418
06/7/2011,28.37,1222099,2148516
06/8/2011,27.12,1696936,2179368
06/9/2011,27.62,1604220,2237689
06/10/2011,27.86,1566532,2165100
06/13/2011,28.43,1713761,2223182
06/14/2011,28.6,1573310,2270499
06/15/2011,27.32,1346579,2319360
06/16/2011,26.5,1842124,2129247
06/17/2011,26.5,1713965,2021052
06/20/2011,26.01,1537709,2011095
06/21/2011,27.53,1496563,1891498
06/22/2011,27.21,1475533,1887840
06/23/2011,27.71,1169990,1900087
06/24/2011,27.565,3608858,1726663
06/27/2011,27.46,1809367,1691836
06/28/2011,28.11,889132,1669639
06/29/2011,28.29,1461708,1653957
06/30/2011,29.13,946654,1610119
07/1/2011,29.02,854839,1562673
07/5/2011,29.14,995989,1514821
07/6/2011,28.96,926889,1471727
07/7/2011,29.73,1327821,1470476
07/8/2011,28.81,1240580,1430373
07/11/2011,28.35,975703,1381156
07/12/2011,28.17,1045406,1348336
07/13/2011,28.64,1065942,1319627
07/14/2011,27.61,1159131,1298534
07/15/2011,27.58,708954,1267798
07/18/2011,27.23,852317,1084029
07/19/2011,27.89,1026048,1031808
07/20/2011,28.69,3048394,1175758
07/21/2011,28.7,1012006,1145778
07/22/2011,29.29,583868,1121593
07/25/2011,28.49,673491,1109503
07/26/2011,28,762932,1093966
07/27/2011,27.64,958403,1096066
07/28/2011,28.17,938729,1070127
07/29/2011,28.17,948127,1050630
08/1/2011,28.77,1164822,1063238
08/2/2011,27.34,1549320,1096832
08/3/2011,27.2,1801329,1145858
08/4/2011,24.75,3065596,1272956
08/5/2011,24.24,1964376,1356651
08/8/2011,23.64,2608572,1473734
08/9/2011,25.06,1333382,1494223
08/10/2011,23.82,1564147,1395273
08/11/2011,25.3,836484,1383572
08/12/2011,26.31,1009020,1411915
08/15/2011,26.23,738572,1416254
08/16/2011,26.1,537688,1401238
08/17/2011,25.83,643772,1380262
08/18/2011,24.26,1056569,1388118
08/19/2011,22.3,1375277,1416595
08/22/2011,21.95,986181,1404686
08/23/2011,22.96,868968,1359329
08/24/2011,23.87,684238,1284856
08/25/2011,23.11,680210,1125830
08/26/2011,23.73,761756,1045656
08/29/2011,24.71,803302,925304
08/30/2011,24.63,366659,860856
08/31/2011,24.74,823735,811495
09/1/2011,24,848085,812269
09/2/2011,23.07,770331,796356
09/6/2011,22.94,809760,801102
09/7/2011,23.84,459186,795869
09/8/2011,23.61,505697,786664
09/9/2011,22.97,669263,760843
09/12/2011,22.88,566571,706929
09/13/2011,24.08,726461,689615
09/14/2011,24.34,830777,687069
09/15/2011,24.82,562512,678954
09/16/2011,25.8,1417574,728111
09/19/2011,25.77,1157349,754484
09/20/2011,26.01,1180351,779621
09/21/2011,25.85,987577,821015
09/22/2011,25.63,776002,817833
09/23/2011,26.38,1156328,838383
09/26/2011,25.52,934715,849342
09/27/2011,26.19,674429,840319
09/28/2011,24.59,723206,857921
09/29/2011,24.12,929545,886177
09/30/2011,24.39,1336054,930630
10/3/2011,23.73,1023130,961067
10/4/2011,23.66,1200214,992651
10/5/2011,25.37,1229414,1019227
10/6/2011,26.96,1769026,1099661
10/7/2011,26.99,1311548,1092593
10/10/2011,27.88,923416,1076997
10/11/2011,27.61,576003,1036707
